Total Yield vs Kmiss,,,
0.4,0.45,0.5,702.667
0.5,0.55,0.6,777.5
0.6,0.65,0.7,805
0.7,0.75,0.8,916.667
0.8,0.85,0.9,891.917
0.9,0.95,1,846.417
1 to 1.5 Yield vs Kmiss,,,
0.4,0.45,0.5,282
0.5,0.55,0.6,333.083
0.6,0.65,0.7,410.667
0.7,0.75,0.8,465
0.8,0.85,0.9,441.667
0.9,0.95,1,459.333
1.5 to 2 Yield vs Kmiss,,,
0.4,0.45,0.5,142
0.5,0.55,0.6,134.917
0.6,0.65,0.7,193.5
0.7,0.75,0.8,277.083
0.8,0.85,0.9,279.333
0.9,0.95,1,298.333
2 to 2.5 Yield vs Kmiss,,,
0.4,0.45,0.5,82.25
0.5,0.55,0.6,79.8333
0.6,0.65,0.7,147.333
0.7,0.75,0.8,161.083
0.8,0.85,0.9,199.917
0.9,0.95,1,212.083
2.5 to 3 Yield vs Kmiss,,,
0.4,0.45,0.5,57.9167
0.5,0.55,0.6,51.3333
0.6,0.65,0.7,109.583
0.7,0.75,0.8,117.75
0.8,0.85,0.9,181.25
0.9,0.95,1,152.083
#3 to 4 Yield vs Kmiss,,,
0.4,0.45,0.5,47.8333
0.5,0.55,0.6,28.4167
0.6,0.65,0.7,73.0833
0.7,0.75,0.8,86
0.8,0.85,0.9,135.333
0.9,0.95,1,107.75